channel,region,object_id,feature_name,feature_value
na,cell,1,neighbors,"[7, 18, 12, 6, 2, 8, 17, 4, 19, 15]"
na,cell,2,neighbors,"[1, 8, 4, 12, 5, 14, 3]"
na,cell,3,neighbors,"[4, 2, 5, 14, 20, 9]"
na,cell,4,neighbors,"[12, 1, 2, 15, 14, 5, 8, 3, 20]"
na,cell,5,neighbors,"[2, 4, 8, 3, 14, 20, 9, 10]"
na,cell,6,neighbors,"[7, 1, 17, 8, 10, 19, 18, 11]"
na,cell,7,neighbors,"[1, 18, 17, 6, 8]"
na,cell,8,neighbors,"[1, 6, 7, 2, 10, 17, 19, 11, 4, 5, 9]"
na,cell,9,neighbors,"[5, 8, 10, 20, 11, 3]"
na,cell,10,neighbors,"[6, 17, 8, 19, 11, 5, 9, 20]"
na,cell,11,neighbors,"[10, 19, 8, 6, 21, 9, 20]"
na,cell,12,neighbors,"[1, 18, 4, 15, 13, 2]"
na,cell,13,neighbors,"[12, 18, 15, 21, 20]"
na,cell,14,neighbors,"[4, 15, 2, 20, 5, 3]"
na,cell,15,neighbors,"[12, 18, 13, 4, 1, 14, 20]"
na,cell,17,neighbors,"[7, 18, 6, 1, 19, 10, 21, 8]"
na,cell,18,neighbors,"[7, 1, 17, 12, 15, 13, 21, 19, 6]"
na,cell,19,neighbors,"[17, 18, 6, 1, 21, 10, 11, 8]"
na,cell,20,neighbors,"[4, 14, 15, 5, 13, 21, 3, 9, 10, 11]"
na,cell,21,neighbors,"[18, 17, 13, 19, 20, 11]"
nuclei_intensity,nuclei,1,q0_000,0.0
nuclei_intensity,nuclei,1,q0_250,11086.0
nuclei_intensity,nuclei,1,q0_500,30004.0
nuclei_intensity,nuclei,1,q0_750,55289.0
nuclei_intensity,nuclei,1,q1_000,65535.0
nuclei_intensity,nuclei,2,q0_000,137.0
nuclei_intensity,nuclei,2,q0_250,16411.0
nuclei_intensity,nuclei,2,q0_500,22547.0
nuclei_intensity,nuclei,2,q0_750,28139.0
nuclei_intensity,nuclei,2,q1_000,65535.0
nuclei_intensity,nuclei,3,q0_000,3162.0
nuclei_intensity,nuclei,3,q0_250,18216.0
nuclei_intensity,nuclei,3,q0_500,26242.0
nuclei_intensity,nuclei,3,q0_750,34109.0
nuclei_intensity,nuclei,3,q1_000,61373.0
nuclei_intensity,nuclei,4,q0_000,3165.0
nuclei_intensity,nuclei,4,q0_250,16252.0
nuclei_intensity,nuclei,4,q0_500,20780.5
nuclei_intensity,nuclei,4,q0_750,26148.5
nuclei_intensity,nuclei,4,q1_000,62042.0
nuclei_intensity,nuclei,5,q0_000,594.0
nuclei_intensity,nuclei,5,q0_250,14623.5
nuclei_intensity,nuclei,5,q0_500,22590.0
nuclei_intensity,nuclei,5,q0_750,32258.0
nuclei_intensity,nuclei,5,q1_000,65535.0
nuclei_intensity,nuclei,6,q0_000,0.0
nuclei_intensity,nuclei,6,q0_250,17076.0
nuclei_intensity,nuclei,6,q0_500,25348.0
nuclei_intensity,nuclei,6,q0_750,36380.0
nuclei_intensity,nuclei,6,q1_000,65535.0
nuclei_intensity,nuclei,7,q0_000,0.0
nuclei_intensity,nuclei,7,q0_250,19948.25
nuclei_intensity,nuclei,7,q0_500,28202.5
nuclei_intensity,nuclei,7,q0_750,37396.25
nuclei_intensity,nuclei,7,q1_000,65535.0
nuclei_intensity,nuclei,8,q0_000,0.0
nuclei_intensity,nuclei,8,q0_250,15980.0
nuclei_intensity,nuclei,8,q0_500,25046.5
nuclei_intensity,nuclei,8,q0_750,33780.5
nuclei_intensity,nuclei,8,q1_000,65535.0
nuclei_intensity,nuclei,9,q0_000,0.0
nuclei_intensity,nuclei,9,q0_250,19798.5
nuclei_intensity,nuclei,9,q0_500,27254.0
nuclei_intensity,nuclei,9,q0_750,36608.0
nuclei_intensity,nuclei,9,q1_000,65535.0
nuclei_intensity,nuclei,10,q0_000,0.0
nuclei_intensity,nuclei,10,q0_250,15194.5
nuclei_intensity,nuclei,10,q0_500,26210.0
nuclei_intensity,nuclei,10,q0_750,38665.0
nuclei_intensity,nuclei,10,q1_000,65535.0
nuclei_intensity,nuclei,11,q0_000,0.0
nuclei_intensity,nuclei,11,q0_250,12673.5
nuclei_intensity,nuclei,11,q0_500,29508.0
nuclei_intensity,nuclei,11,q0_750,47115.0
nuclei_intensity,nuclei,11,q1_000,65535.0
nuclei_intensity,nuclei,12,q0_000,0.0
nuclei_intensity,nuclei,12,q0_250,18063.0
nuclei_intensity,nuclei,12,q0_500,30446.0
nuclei_intensity,nuclei,12,q0_750,41694.0
nuclei_intensity,nuclei,12,q1_000,65535.0
nuclei_intensity,nuclei,13,q0_000,0.0
nuclei_intensity,nuclei,13,q0_250,16832.5
nuclei_intensity,nuclei,13,q0_500,23161.0
nuclei_intensity,nuclei,13,q0_750,29825.0
nuclei_intensity,nuclei,13,q1_000,59955.0
nuclei_intensity,nuclei,14,q0_000,2342.0
nuclei_intensity,nuclei,14,q0_250,17404.5
nuclei_intensity,nuclei,14,q0_500,23682.0
nuclei_intensity,nuclei,14,q0_750,29553.5
nuclei_intensity,nuclei,14,q1_000,60040.0
nuclei_intensity,nuclei,15,q0_000,1511.0
nuclei_intensity,nuclei,15,q0_250,15850.5
nuclei_intensity,nuclei,15,q0_500,21572.5
nuclei_intensity,nuclei,15,q0_750,27593.25
nuclei_intensity,nuclei,15,q1_000,59350.0
nuclei_intensity,nuclei,16,q0_000,0.0
nuclei_intensity,nuclei,16,q0_250,11446.25
nuclei_intensity,nuclei,16,q0_500,29551.5
nuclei_intensity,nuclei,16,q0_750,52927.75
nuclei_intensity,nuclei,16,q1_000,65535.0
nuclei_intensity,nuclei,17,q0_000,0.0
nuclei_intensity,nuclei,17,q0_250,14141.0
nuclei_intensity,nuclei,17,q0_500,23892.0
nuclei_intensity,nuclei,17,q0_750,36862.0
nuclei_intensity,nuclei,17,q1_000,65535.0
nuclei_intensity,nuclei,18,q0_000,0.0
nuclei_intensity,nuclei,18,q0_250,13270.25
nuclei_intensity,nuclei,18,q0_500,24055.5
nuclei_intensity,nuclei,18,q0_750,39966.5
nuclei_intensity,nuclei,18,q1_000,65535.0
nuclei_intensity,nuclei,19,q0_000,0.0
nuclei_intensity,nuclei,19,q0_250,16427.0
nuclei_intensity,nuclei,19,q0_500,34412.0
nuclei_intensity,nuclei,19,q0_750,56497.0
nuclei_intensity,nuclei,19,q1_000,65535.0
nuclei_intensity,nuclei,20,q0_000,0.0
nuclei_intensity,nuclei,20,q0_250,16792.0
nuclei_intensity,nuclei,20,q0_500,29817.0
nuclei_intensity,nuclei,20,q0_750,43109.5
nuclei_intensity,nuclei,20,q1_000,65535.0
nuclei_intensity,nuclei,21,q0_000,0.0
nuclei_intensity,nuclei,21,q0_250,15106.75
